sample	class	type	oxidation_state	T_K	IS_mm_s	IS_err	QS_mm_s	QS_err	Bhf_T	Bhf_err	site	site_total	model	reference	reference_url
Vivianite	Hydrated normal phosphases, arsenates and vanadates	S	3	295.0	0.38	0.01	1.06	0.01			3	4	0	Amthauer G. and Rossman G.R. 1984	https://link.springer.com/article/10.1007/BF00309374
Lazulite	Anhydrous phosphates, etc. containing hydroxyl or halogen	S	2	80.0	1.24	0.01	4.04	0.01			1	2	0	Amthauer G. and Rossman G.R. 1984	https://link.springer.com/article/10.1007/BF00309374
Hedenbergite	Inosilicates	S	2	80.0	1.27	0.01	2.74	0.01			1	2	0	Amthauer G. and Rossman G.R. 1984	https://link.springer.com/article/10.1007/BF00309374
Ilvaite	Sorosilicates	U	2	295.0	1.04	0.01	2.45	0.01			1	4	0	Amthauer G. and Rossman G.R. 1984	https://link.springer.com/article/10.1007/BF00309374
Olivine		E	2	295.0	1.165	0.002		0.003			1	4	0	Ejima et al 2018	https://kyushu-u.pure.elsevier.com/en/publications/oxidation-states-of-fe
Orthopyroxene		E	3	295.0	0.39	0.02		0.03			1	3	0	Ejima et al 2018	https://kyushu-u.pure.elsevier.com/en/publications/oxidation-states-of-fe
Clinopyroxene		E	3	296.0	0.43	0.01		0.02			1	5	0	Ejima et al 2018	https://kyushu-u.pure.elsevier.com/en/publications/oxidation-states-of-fe
Spinel		E	2	301.0	0.88	0.02		0.03			1	4	0	Ejima et al 2018	https://kyushu-u.pure.elsevier.com/en/publications/oxidation-states-of-fe
Sphalerite	Sulphides	U		295.0	0.6		0.63				1	1	0	Dyar et al. 2006	https://www.researchgate.net/publication/234149051
Arsenopyrite	Sulphides	U		295.0	0.3		1.15				1	1	0	Dyar et al. 2006	https://www.researchgate.net/publication/234149051
Wüstite	Simple oxide	U		295.0	0.95		0.44				1	2	0	Murad & Johnston 1987	http://www.springer.com/de/book/9780306416477
Ferrihydrite	Simple oxide	U		295.0	0.35		0.83				1	3	0	Murad & Johnston 1987	
Maghemite	Simple oxide	U		295.0	0.32		0.02		49.9		1	1	0	Murad & Johnston 1987	
Goethite	Hydroxides and Oxides containing hydroxyl	U		295.0	0.37		-0.26		38.2		1	1	0	Murad & Johnston 1987	
Magnetite	Multiple Oxides	U		295.0	0.26		-0.02		49.0		1	2	0	Dyar et al. 2006	https://www.researchgate.net/publication/234149051
Magnetite	Multiple Oxides	U		295.0	0.67		0.0		46.0		2	2	0	Dyar et al. 2006	https://www.researchgate.net/publication/234149051
Chromite	Multiple Oxides	U		295.0	0.32		0.44				1	4	0	Kuno et al. 2000	https://link.springer.com/article/10.1023/A:1006724913427
Ulvöspinel	Multiple Oxides	U		295.0	1.07		1.85				1	1	0	Dyar et al. 2006	https://www.researchgate.net/publication/234149051
Ankerite	Anhydrous Carbonates	U		295.0	1.23		1.5				1	1	0	Dyar et al. 2006	https://www.researchgate.net/publication/234149051
