serie,caso,version,parametro,verdadero,ajustado,sigma,z,abs_delta,chi2red,convergido,t_ajuste_s,nota
A1c,A1c_p5pc,v0,s1_gamma1,0.25,0.249998,1.28e-06,-1.18,1.51e-06,,si,0.0,singlete profundidad 5%
A1c,A1c_p5pc,v0,s1_depth,0.0166667,0.0166677,5.66e-08,18.67,1.06e-06,,si,0.0,singlete profundidad 5%
A1c,A1c_p10pc,v0,s1_delta,0,-1.75375e-12,1.89e-07,-0.00,1.75e-12,,si,0.0,singlete profundidad 10%
A1c,A1c_p10pc,v0,s1_gamma1,0.25,0.25,5.65e-07,-0.12,6.53e-08,,si,0.0,singlete profundidad 10%
A1c,A1c_p10pc,v0,s1_depth,0.0333333,0.0333374,4.96e-08,82.29,4.08e-06,,si,0.0,singlete profundidad 10%
A1c,A1c_p20pc,v0,s1_delta,0,-4.70568e-15,1.02e-07,-0.00,4.71e-15,,si,0.0,singlete profundidad 20%
A1c,A1c_p20pc,v0,s1_gamma1,0.25,0.25,3.09e-07,-0.16,4.84e-08,,si,0.0,singlete profundidad 20%
A1c,A1c_p20pc,v0,s1_depth,0.0666667,0.0666829,5.31e-08,305.37,1.62e-05,,si,0.0,singlete profundidad 20%
A2,A2_d0.00_q0.15,v0,s1_delta,0,-2.51547e-14,2.34e-07,-0.00,2.52e-14,,si,0.3,doblete rejilla
A2,A2_d0.00_q0.15,v0,s1_quad,0.15,0.15,5.95e-07,0.63,3.76e-07,,si,0.3,doblete rejilla
A2,A2_d0.00_q0.15,v0,s1_gamma1,0.25,0.25,9.2e-07,0.21,1.91e-07,,si,0.3,doblete rejilla
A2,A2_d0.00_q0.15,v0,s1_depth,0.0212207,0.0212239,5.56e-08,58.42,3.25e-06,,si,0.3,doblete rejilla
A2,A2_d0.00_q0.30,v0,s1_delta,0,-1.48187e-14,2.7e-07,-0.00,1.48e-14,,si,0.0,doblete rejilla
A2,A2_d0.00_q0.30,v0,s1_quad,0.3,0.3,4.39e-07,0.99,4.36e-07,,si,0.0,doblete rejilla
A2,A2_d0.00_q0.30,v0,s1_gamma1,0.25,0.250001,7.28e-07,2.06,1.5e-06,,si,0.0,doblete rejilla
A2,A2_d0.00_q0.30,v0,s1_depth,0.0212207,0.0212239,4.62e-08,70.80,3.27e-06,,si,0.0,doblete rejilla
A2,A2_d0.00_q0.50,v0,s1_delta,0,2.40689e-15,2.39e-07,0.00,2.41e-15,,si,0.0,doblete rejilla
A2,A2_d0.00_q0.50,v0,s1_quad,0.5,0.5,4.43e-07,-0.46,2.03e-07,,si,0.0,doblete rejilla
A2,A2_d0.00_q0.50,v0,s1_gamma1,0.25,0.250001,6.29e-07,0.89,5.58e-07,,si,0.0,doblete rejilla
A2,A2_d0.00_q0.50,v0,s1_depth,0.0212207,0.0212239,4.03e-08,80.87,3.26e-06,,si,0.0,doblete rejilla
A2,A2_d0.00_q0.70,v0,s1_delta,0,-1.46277e-14,2.42e-07,-0.00,1.46e-14,,si,0.1,doblete rejilla
A2,A2_d0.00_q0.70,v0,s1_quad,0.7,0.700001,4.71e-07,1.23,5.78e-07,,si,0.1,doblete rejilla
A2,A2_d0.00_q0.70,v0,s1_gamma1,0.25,0.250001,6.63e-07,0.96,6.39e-07,,si,0.1,doblete rejilla
A2,A2_d0.00_q0.70,v0,s1_depth,0.0212207,0.021224,4.09e-08,81.94,3.35e-06,,si,0.1,doblete rejilla
A2,A2_d0.00_q1.00,v0,s1_delta,0,-2.63118e-14,2.35e-07,-0.00,2.63e-14,,si,0.0,doblete rejilla
A2,A2_d0.00_q1.00,v0,s1_quad,1,1,4.65e-07,-0.00,1.93e-09,,si,0.0,doblete rejilla
A2,A2_d0.00_q1.00,v0,s1_gamma1,0.25,0.249999,6.76e-07,-1.13,7.65e-07,,si,0.0,doblete rejilla
A2,A2_d0.00_q1.00,v0,s1_depth,0.0212207,0.0212241,3.96e-08,87.03,3.45e-06,,si,0.0,doblete rejilla
A2,A2_d0.00_q1.50,v0,s1_delta,0,1.02381e-14,2.44e-07,0.00,1.02e-14,,si,0.2,doblete rejilla
A2,A2_d0.00_q1.50,v0,s1_quad,1.5,1.5,4.87e-07,-1.79,8.71e-07,,si,0.2,doblete rejilla
A2,A2_d0.00_q1.50,v0,s1_gamma1,0.25,0.249999,7.38e-07,-1.68,1.24e-06,,si,0.2,doblete rejilla
A2,A2_d0.00_q1.50,v0,s1_depth,0.0212207,0.0212244,4.11e-08,91.58,3.77e-06,,si,0.2,doblete rejilla
A2,A2_d0.00_q2.00,v0,s1_delta,0,6.5172e-15,2.24e-07,0.00,6.52e-15,,si,0.0,doblete rejilla
A2,A2_d0.00_q2.00,v0,s1_quad,2,2,4.47e-07,-0.89,3.97e-07,,si,0.0,doblete rejilla
A2,A2_d0.00_q2.00,v0,s1_gamma1,0.25,0.250001,6.92e-07,1.40,9.68e-07,,si,0.0,doblete rejilla
A2,A2_d0.00_q2.00,v0,s1_depth,0.0212207,0.0212248,3.77e-08,109.99,4.15e-06,,si,0.0,doblete rejilla
A2,A2_d0.00_q2.65,v0,s1_delta,0,8.58745e-15,2.31e-07,0.00,8.59e-15,,si,0.0,doblete rejilla
A2,A2_d0.00_q2.65,v0,s1_quad,2.65,2.65,4.61e-07,0.87,4.01e-07,,si,0.0,doblete rejilla
A2,A2_d0.00_q2.65,v0,s1_gamma1,0.25,0.249999,7.23e-07,-0.88,6.33e-07,,si,0.0,doblete rejilla
A2,A2_d0.00_q2.65,v0,s1_depth,0.0212207,0.0212257,3.89e-08,128.37,4.99e-06,,si,0.0,doblete rejilla
A2,A2_d0.00_q3.50,v0,s1_delta,0,-5.2241e-15,2.06e-07,-0.00,5.22e-15,,si,0.0,doblete rejilla
A2,A2_d0.00_q3.50,v0,s1_quad,3.5,3.5,4.12e-07,0.94,3.86e-07,,si,0.0,doblete rejilla
A2,A2_d0.00_q3.50,v0,s1_gamma1,0.25,0.25,6.49e-07,-0.57,3.72e-07,,si,0.0,doblete rejilla
A2,A2_d0.00_q3.50,v0,s1_depth,0.0212207,0.0212278,3.47e-08,204.50,7.1e-06,,si,0.0,doblete rejilla
A2,A2_d0.37_q0.15,v0,s1_delta,0.37,0.37,2.28e-07,-1.07,2.45e-07,,si,0.6,doblete rejilla
A2,A2_d0.37_q0.15,v0,s1_quad,0.15,0.149999,5.81e-07,-1.22,7.09e-07,,si,0.6,doblete rejilla
A2,A2_d0.37_q0.15,v0,s1_gamma1,0.25,0.250001,8.98e-07,1.21,1.09e-06,,si,0.6,doblete rejilla
A2,A2_d0.37_q0.15,v0,s1_depth,0.0212207,0.0212239,5.42e-08,59.13,3.2e-06,,si,0.6,doblete rejilla
A2,A2_d0.37_q0.30,v0,s1_delta,0.37,0.37,2.64e-07,0.80,2.12e-07,,si,0.1,doblete rejilla
A2,A2_d0.37_q0.30,v0,s1_quad,0.3,0.3,4.3e-07,-0.92,3.94e-07,,si,0.1,doblete rejilla
A2,A2_d0.37_q0.30,v0,s1_gamma1,0.25,0.25,7.13e-07,-0.32,2.27e-07,,si,0.1,doblete rejilla
A2,A2_d0.37_q0.30,v0,s1_depth,0.0212207,0.021224,4.52e-08,72.94,3.3e-06,,si,0.1,doblete rejilla
A2,A2_d0.37_q0.50,v0,s1_delta,0.37,0.37,2.41e-07,-0.99,2.37e-07,,si,0.1,doblete rejilla
A2,A2_d0.37_q0.50,v0,s1_quad,0.5,0.5,4.46e-07,0.50,2.21e-07,,si,0.1,doblete rejilla
A2,A2_d0.37_q0.50,v0,s1_gamma1,0.25,0.250001,6.34e-07,0.95,6.04e-07,,si,0.1,doblete rejilla
A2,A2_d0.37_q0.50,v0,s1_depth,0.0212207,0.021224,4.06e-08,81.69,3.31e-06,,si,0.1,doblete rejilla
A2,A2_d0.37_q0.70,v0,s1_delta,0.37,0.369999,2.32e-07,-2.35,5.47e-07,,si,0.0,doblete rejilla
A2,A2_d0.37_q0.70,v0,s1_quad,0.7,0.7,4.52e-07,-0.03,1.38e-08,,si,0.0,doblete rejilla
A2,A2_d0.37_q0.70,v0,s1_gamma1,0.25,0.25,6.37e-07,0.41,2.62e-07,,si,0.0,doblete rejilla
A2,A2_d0.37_q0.70,v0,s1_depth,0.0212207,0.0212241,3.92e-08,86.93,3.41e-06,,si,0.0,doblete rejilla
A2,A2_d0.37_q1.00,v0,s1_delta,0.37,0.37,2.22e-07,0.13,2.99e-08,,si,0.1,doblete rejilla
A2,A2_d0.37_q1.00,v0,s1_quad,1,1,4.4e-07,1.12,4.93e-07,,si,0.1,doblete rejilla
A2,A2_d0.37_q1.00,v0,s1_gamma1,0.25,0.249999,6.41e-07,-1.08,6.93e-07,,si,0.1,doblete rejilla
A2,A2_d0.37_q1.00,v0,s1_depth,0.0212207,0.0212242,3.75e-08,94.03,3.52e-06,,si,0.1,doblete rejilla
A2,A2_d0.37_q1.50,v0,s1_delta,0.37,0.37,2.35e-07,-0.18,4.22e-08,,si,0.0,doblete rejilla
A2,A2_d0.37_q1.50,v0,s1_quad,1.5,1.5,4.7e-07,1.08,5.06e-07,,si,0.0,doblete rejilla
A2,A2_d0.37_q1.50,v0,s1_gamma1,0.25,0.249999,7.14e-07,-1.70,1.21e-06,,si,0.0,doblete rejilla
A2,A2_d0.37_q1.50,v0,s1_depth,0.0212207,0.0212244,3.97e-08,95.38,3.78e-06,,si,0.0,doblete rejilla
A2,A2_d0.37_q2.00,v0,s1_delta,0.37,0.37,2.17e-07,-1.47,3.19e-07,,si,0.0,doblete rejilla
A2,A2_d0.37_q2.00,v0,s1_quad,2,2,4.33e-07,-0.76,3.28e-07,,si,0.0,doblete rejilla
A2,A2_d0.37_q2.00,v0,s1_gamma1,0.25,0.249999,6.72e-07,-1.30,8.77e-07,,si,0.0,doblete rejilla
A2,A2_d0.37_q2.00,v0,s1_depth,0.0212207,0.0212248,3.65e-08,114.51,4.18e-06,,si,0.0,doblete rejilla
A2,A2_d0.37_q2.65,v0,s1_delta,0.37,0.37,2.27e-07,0.76,1.72e-07,,si,0.0,doblete rejilla
A2,A2_d0.37_q2.65,v0,s1_quad,2.65,2.65,4.54e-07,0.59,2.66e-07,,si,0.0,doblete rejilla
A2,A2_d0.37_q2.65,v0,s1_gamma1,0.25,0.25,7.14e-07,-0.04,2.9e-08,,si,0.0,doblete rejilla
A2,A2_d0.37_q2.65,v0,s1_depth,0.0212207,0.0212257,3.83e-08,131.83,5.05e-06,,si,0.0,doblete rejilla
A2,A2_d0.37_q3.50,v0,s1_delta,0.37,0.37,2.33e-07,-0.00,1.04e-09,,si,0.1,doblete rejilla
A2,A2_d0.37_q3.50,v0,s1_quad,3.5,3.5,4.65e-07,-1.45,6.74e-07,,si,0.1,doblete rejilla
A2,A2_d0.37_q3.50,v0,s1_gamma1,0.25,0.249999,7.35e-07,-1.05,7.73e-07,,si,0.1,doblete rejilla
A2,A2_d0.37_q3.50,v0,s1_depth,0.0212207,0.0212277,3.92e-08,180.42,7.07e-06,,si,0.1,doblete rejilla
A2,A2_d0.70_q0.15,v0,s1_delta,0.7,0.7,2.2e-07,0.78,1.72e-07,,si,0.1,doblete rejilla
A2,A2_d0.70_q0.15,v0,s1_quad,0.15,0.150001,5.62e-07,1.24,6.97e-07,,si,0.1,doblete rejilla
A2,A2_d0.70_q0.15,v0,s1_gamma1,0.25,0.25,8.73e-07,0.04,3.55e-08,,si,0.1,doblete rejilla
A2,A2_d0.70_q0.15,v0,s1_depth,0.0212207,0.0212235,5.25e-08,54.13,2.84e-06,,si,0.1,doblete rejilla
A2,A2_d0.70_q0.30,v0,s1_delta,0.7,0.7,2.36e-07,1.31,3.09e-07,,si,0.1,doblete rejilla
A2,A2_d0.70_q0.30,v0,s1_quad,0.3,0.3,3.84e-07,0.31,1.18e-07,,si,0.1,doblete rejilla
A2,A2_d0.70_q0.30,v0,s1_gamma1,0.25,0.250002,6.39e-07,2.55,1.63e-06,,si,0.1,doblete rejilla
A2,A2_d0.70_q0.30,v0,s1_depth,0.0212207,0.0212234,4.04e-08,67.14,2.71e-06,,si,0.1,doblete rejilla
A2,A2_d0.70_q0.50,v0,s1_delta,0.7,0.7,2.31e-07,0.83,1.92e-07,,si,0.0,doblete rejilla
A2,A2_d0.70_q0.50,v0,s1_quad,0.5,0.499999,4.29e-07,-1.19,5.12e-07,,si,0.0,doblete rejilla
A2,A2_d0.70_q0.50,v0,s1_gamma1,0.25,0.25,6.13e-07,0.22,1.36e-07,,si,0.0,doblete rejilla
A2,A2_d0.70_q0.50,v0,s1_depth,0.0212207,0.0212235,3.9e-08,73.68,2.88e-06,,si,0.0,doblete rejilla
A2,A2_d0.70_q0.70,v0,s1_delta,0.7,0.7,2.3e-07,0.06,1.43e-08,,si,0.0,doblete rejilla
A2,A2_d0.70_q0.70,v0,s1_quad,0.7,0.7,4.47e-07,0.14,6.09e-08,,si,0.0,doblete rejilla
A2,A2_d0.70_q0.70,v0,s1_gamma1,0.25,0.25,6.33e-07,-0.47,2.98e-07,,si,0.0,doblete rejilla
A2,A2_d0.70_q0.70,v0,s1_depth,0.0212207,0.0212235,3.88e-08,73.44,2.85e-06,,si,0.0,doblete rejilla
A2,A2_d0.70_q1.00,v0,s1_delta,0.7,0.7,2.31e-07,-0.55,1.26e-07,,si,0.0,doblete rejilla
A2,A2_d0.70_q1.00,v0,s1_quad,1,1,4.58e-07,0.84,3.84e-07,,si,0.0,doblete rejilla
A2,A2_d0.70_q1.00,v0,s1_gamma1,0.25,0.25,6.72e-07,-0.02,1.19e-08,,si,0.0,doblete rejilla
A2,A2_d0.70_q1.00,v0,s1_depth,0.0212207,0.0212236,3.9e-08,76.54,2.99e-06,,si,0.0,doblete rejilla
A2,A2_d0.70_q1.50,v0,s1_delta,0.7,0.7,2.32e-07,1.19,2.75e-07,,si,0.0,doblete rejilla
A2,A2_d0.70_q1.50,v0,s1_quad,1.5,1.5,4.63e-07,-0.95,4.39e-07,,si,0.0,doblete rejilla
A2,A2_d0.70_q1.50,v0,s1_gamma1,0.25,0.250001,7.09e-07,0.72,5.11e-07,,si,0.0,doblete rejilla
A2,A2_d0.70_q1.50,v0,s1_depth,0.0212207,0.0212237,3.91e-08,79.01,3.09e-06,,si,0.0,doblete rejilla
A2,A2_d0.70_q2.00,v0,s1_delta,0.7,0.7,2.22e-07,-0.75,1.67e-07,,si,0.0,doblete rejilla
A2,A2_d0.70_q2.00,v0,s1_quad,2,2,4.44e-07,-0.06,2.87e-08,,si,0.0,doblete rejilla
A2,A2_d0.70_q2.00,v0,s1_gamma1,0.25,0.249999,6.94e-07,-1.02,7.05e-07,,si,0.0,doblete rejilla
A2,A2_d0.70_q2.00,v0,s1_depth,0.0212207,0.0212241,3.74e-08,93.24,3.49e-06,,si,0.0,doblete rejilla
A2,A2_d0.70_q2.65,v0,s1_delta,0.7,0.7,2.23e-07,1.27,2.84e-07,,si,0.1,doblete rejilla
A2,A2_d0.70_q2.65,v0,s1_quad,2.65,2.65,4.46e-07,1.22,5.46e-07,,si,0.1,doblete rejilla
A2,A2_d0.70_q2.65,v0,s1_gamma1,0.25,0.249999,7.06e-07,-1.86,1.31e-06,,si,0.1,doblete rejilla
A2,A2_d0.70_q2.65,v0,s1_depth,0.0212207,0.0212247,3.76e-08,107.86,4.05e-06,,si,0.1,doblete rejilla
A2,A2_d0.70_q3.50,v0,s1_delta,0.7,0.7,2.25e-07,-0.09,1.96e-08,,si,0.0,doblete rejilla
A2,A2_d0.70_q3.50,v0,s1_quad,3.5,3.5,4.5e-07,1.92,8.62e-07,,si,0.0,doblete rejilla
A2,A2_d0.70_q3.50,v0,s1_gamma1,0.25,0.249999,7.17e-07,-0.88,6.32e-07,,si,0.0,doblete rejilla
A2,A2_d0.70_q3.50,v0,s1_depth,0.0212207,0.0212259,3.79e-08,139.32,5.29e-06,,si,0.0,doblete rejilla
A2,A2_d1.12_q0.15,v0,s1_delta,1.12,1.12,2.21e-07,-1.28,2.84e-07,,si,0.1,doblete rejilla
