# velocidad_mm_s datos_norm ajuste_norm residuo cuentas_dobladas
4.332268235 0.9963503199 0.995015364 0.001334955828 418114.8795
4.425435294 0.9957921602 0.9952398423 0.0005523179223 417880.6498
4.518602353 0.9946212735 0.9953820392 -0.0007607657193 417389.2913
4.611769412 0.9954296393 0.9957414805 -0.0003118412558 417728.5191
4.704936471 0.9965896438 0.9960830956 0.0005065482293 418215.311
4.798103529 0.9938012671 0.9963909518 -0.002589684691 417045.1785
4.891270588 0.9952972506 0.996401907 -0.00110465638 417672.9627
4.984437647 0.9944935087 0.9959241168 -0.001430608111 417335.6753
5.077604706 0.9910407638 0.9951617757 -0.004121011949 415886.7431
5.170771765 0.9923095567 0.9947923105 -0.002482753794 416419.1876
5.263938824 0.9927918177 0.9942851554 -0.001493337734 416621.5667
5.357105882 0.993219782 0.9932008787 1.890334502e-05 416801.1604
5.450272941 0.9957230863 0.9928366251 0.002886461268 417851.6632
5.54344 0.9945169887 0.9938176229 0.0006993657743 417345.5286
5.636607059 0.9957434041 0.9954037699 0.0003396341867 417860.1894
5.729774118 0.9969603711 0.9964508409 0.0005095302177 418370.8853
5.822941176 0.996752318 0.99687232 -0.0001200020572 418283.5766
5.916108235 0.9998866229 0.9970958376 0.00279078528 419598.8765
6.009275294 0.9971496712 0.9975367285 -0.0003870572893 418450.3244
6.102442353 0.9971912335 0.997948339 -0.0007571054937 418467.7659
6.195609412 0.9989454553 0.9981825231 0.0007629321641 419203.9189
6.288776471 0.9990146308 0.9982822563 0.0007323745094 419232.9481
6.381943529 0.9996901917 0.9982881715 0.001402020186 419516.4449
6.475110588 0.997924009 0.998177195 -0.0002531859679 418775.2726
6.568277647 0.9983586855 0.9978787718 0.0004799136921 418957.683
6.661444706 0.9967828989 0.9974182491 -0.0006353502029 418296.4097
6.754611765 0.9977207334 0.997293327 0.0004274064078 418689.9687
6.847778824 0.9991257799 0.9976379784 0.001487801524 419279.5915
6.940945882 1.000876661 0.9978294751 0.0030471861 420014.3426
7.034112941 0.9991034292 0.9977123222 0.001391107038 419270.2121
7.12728 0.9977509569 0.9975936082 0.0001573486566 418702.6519
7.220447059 0.9974438198 0.9978629086 -0.0004190888504 418573.7628
7.313614118 0.9984003296 0.9981523196 0.0002480099836 418975.1588
7.406781176 0.9988426851 0.9982232653 0.0006194197415 419160.7917
7.499948235 0.9984513223 0.9981510802 0.0003002421142 418996.5577
7.593115294 0.9971155307 0.9981423451 -0.001026814335 418435.9975
7.686282353 0.9997990587 0.9981020576 0.001697001108 419562.1305
7.779449412 0.9964242634 0.9977976145 -0.001373351035 418145.9096
7.872616471 0.998371264 0.9972582073 0.001113056658 418962.9615
7.965783529 0.9966017836 0.9971754687 -0.0005736850115 418220.4054
8.058950588 0.9963860723 0.9977997199 -0.001413647606 418129.8829
8.152117647 0.9982684623 0.9983610353 -9.257298266e-05 418919.8212
8.245284706 1.000266435 0.9986886003 0.001577834995 419758.2634
8.338451765 0.9965176701 0.9988753105 -0.00235764043 418185.1074
