# velocidad_mm/s	Normos_PLT_exp	Mio_norm_fp256.559647	diferencia_mio-Normos	Mio_cuentas_raw
10.66760000	0.999710	0.999659	-0.00005061	419505.944637
10.76080000	0.998276	0.998356	0.00007967	418958.842629
10.85400000	0.999874	0.999886	0.00001185	419600.980518
10.94710000	1.000891	1.000767	-0.00012408	419970.719473
11.04030000	1.000172	1.000165	-0.00000747	419717.928184
11.13350000	0.998506	0.998612	0.00010557	419066.228192
11.22660000	1.000012	0.999897	-0.00011458	419605.835111
11.31980000	0.998766	0.998849	0.00008299	419165.863626
11.41300000	1.000933	1.000824	-0.00010924	419994.571870
11.50610000	0.998535	0.998702	0.00016699	419104.174603
11.59930000	1.000353	1.000330	-0.00002279	419787.456493
11.69250000	1.001167	1.001084	-0.00008335	420103.636374
11.78560000	1.000018	1.000694	0.00067631	419940.248669
11.87880000	1.000018	0.999441	-0.00057680	419414.383421
