# velocidad_mm/s	Normos_PLT_exp	Doblado_256p5_norm	diferencia	Doblado_256p5_cuentas
9.64280000	1.000071	1.000070	-0.00000098	419678.500000
9.73600000	0.999615	0.999615	-0.00000013	419487.500000
9.82910000	0.999882	0.999882	-0.00000024	419599.500000
9.92230000	0.999094	0.999093	-0.00000099	419268.500000
10.01550000	1.001571	1.001570	-0.00000092	420308.000000
10.10860000	0.999866	0.999865	-0.00000092	419592.500000
10.20180000	0.999426	0.999425	-0.00000057	419408.000000
10.29500000	1.000952	1.000952	-0.00000029	420048.500000
10.38810000	0.997303	0.997302	-0.00000077	418517.000000
10.48130000	1.000720	1.000719	-0.00000063	419951.000000
10.57450000	0.999328	0.999328	-0.00000027	419367.000000
10.66760000	0.999710	0.999709	-0.00000100	419527.000000
10.76080000	0.998276	0.998276	-0.00000034	418925.500000
10.85400000	0.999874	0.999873	-0.00000058	419596.000000
10.94710000	1.000891	1.000891	-0.00000006	420023.000000
11.04030000	1.000172	1.000171	-0.00000071	419721.000000
11.13350000	0.998506	0.998506	-0.00000039	419022.000000
11.22660000	1.000012	1.000012	-0.00000037	419654.000000
11.31980000	0.998766	0.998765	-0.00000064	419131.000000
11.41300000	1.000933	1.000933	-0.00000036	420040.500000
11.50610000	0.998535	0.998534	-0.00000079	419034.000000
11.59930000	1.000353	1.000352	-0.00000060	419797.000000
11.69250000	1.001167	1.001166	-0.00000083	420138.500000
11.78560000	1.000018	1.000778	0.00075975	419975.500000
11.87880000	1.000018	0.999390	-0.00062831	419393.000000
